Air Canada,AC,svg
Air Creebec,YN,png
Air Inuit,3H,svg
Air Labrador,WJ,png
Air Tindi,8T,png
Air Transat,TS,svg
AirTran Airways,FL,png
Alaska Airlines,AS,svg
Allegiant Airlines,G4,svg
American Airlines,AA,svg
Bering Air,8E,png
Boutique Air,4B,png
Calm Air,MO,svg
Canadian North,5T,svg
Cape Air,9k,svg
Central Mountain Air,9M,svg
Delta Air Lines,DL,svg
Endeavor Air,9E,svg
First Air,7H,svg
Frontier Airlines,F9,svg
Great Lakes Airlines,ZK,png
Hawaiian Airlines,HA,svg
JetBlue,B6,svg
Kenmore Air,M5,png
Kenn Borek Air,4K,jpg
Mokulele Airlines,MW,png
PAL Airlines,PB,png
Pen Air,KS,png
Perimeter Aviation,JV,svg
Porter Airlines,PD,svg
Ravn Alaska,7F,svg
Ryan Air,7S,png
Silver Airways,3M,png
Southwest Airlines,WN,svg
Spirit Airlines,NK,svg
Sun Country Airlines,SY,png
United Airlines,UA,svg
US Airways,US,svg
Virgin American,VX,svg
Wasaya Airways,WT,jpg
WestJet Airlines,WS,svg
Wright Air Service,8V,png
