66,Air Canada,AC,svg,1
67,Air Creebec,YN,png,1
68,Air Inuit,3H,svg,1
69,Air Labrador,WJ,png,1
70,Air Tindi,8T,png,1
71,Air Transat,TS,svg,1
72,AirTran Airways,FL,png,1
73,Alaska Airlines,AS,svg,1
74,Allegiant Airlines,G4,svg,1
75,American Airlines,AA,svg,1
76,Bering Air,8E,png,1
77,Boutique Air,4B,png,1
78,Calm Air,MO,svg,1
79,Canadian North,5T,svg,1
80,Cape Air,9K,svg,1
81,Central Mountain Air,9M,svg,1
82,Delta Air Lines,DL,svg,1
83,Endeavor Air,9E,svg,1
84,First Air,7H,svg,1
85,Frontier Airlines,F9,svg,1
86,Great Lakes Airlines,ZK,png,1
87,Hawaiian Airlines,HA,svg,1
88,JetBlue,B6,svg,1
89,Kenmore Air,M5,png,1
90,Kenn Borek Air,4K,jpg,1
91,Mokulele Airlines,MW,png,1
92,PAL Airlines,PB,png,1
93,Pen Air,KS,png,1
94,Perimeter Aviation,JV,svg,1
95,Porter Airlines,PD,svg,1
96,Ravn Alaska,7F,svg,1
97,Ryan Air,7S,png,1
98,Silver Airways,3M,png,1
99,Southwest Airlines,WN,svg,1
100,Spirit Airlines,NK,svg,1
101,Sun Country Airlines,SY,png,1
102,United Airlines,UA,svg,1
103,US Airways,US,svg,1
104,Virgin American,VX,svg,1
105,Wasaya Airways,WT,jpg,1
106,WestJet Airlines,WS,svg,1
107,Wright Air Service,8V,png,1
