,310,Airbus A310,32,3|3|3
,319,Airbus A319,24,3|3
,320,Airbus A320,30,3|3
,321,Airbus A321,34,3|3
,330,Airbus A330-100,34,2|4|2
,332,Airbus A330-200,36,2|4|2
,333,Airbus A330-300,40,2|4|2
,AT4,AT 42,11,2|2
,AT5,AT 45,15,2|2
,AT7,AT 72,17,2|2
,BE1,Beechcraft 1900,9,1|1
,717,Boeing 717,29,2|3
,733,Boeing 737-300,20,3|3
,734,Boeing 737-400,21,3|3
,735,Boeing 737-500,22,3|3
,736,Boeing 737-600,23,3|3
,737,Boeing 737-700,24,3|3
,738,Boeing 737-800,30,3|3
,738,Boeing 737-800,30,3|3
,739,Boeing 737-900,32,3|3
,752,Boeing 757-200,34,3|3
,753,Boeing 757-300,41,3|3
,757,Boeing 737-700,44,3|3
,762,Boeing 767-200,44,2|3|2
,763,Boeing 767-300,44,2|3|2
,764,Boeing 767-400,44,2|3|2
,767,Boeing 767-700,44,2|3|2
,777,Boeing 777,40,3|4|3
,CR7,Bombardier CRJ-700,23,2|2
,CR9,Bombardier CRJ-900,21,2|2
,CNA,Cessna 402A,3,1|1
,CNC,Cessna 402C,5,1|1
,DH1,de Havilland Dash 8-100,9,2|2
,DH3,de Havilland Dash 8-300,13,2|2
,DH4,de Havilland Dash 8-400,15,2|2
,DHT,de Havilland Canada Twin Otter,1,1|1
,D38,Dornier 328,8,2|2
,E70,Embraer E-170,18,2|2
,E75,Embraer E-175,20,2|2
,E90,Embraer E-190,33,2|2
,ER4,Embraer ERJ-145,18,1|2
,ERD,Embraer ERJ-140,16,1|2
,EM2,Embraer EMB 120 Brasilia,8,2|2
,FRJ,Fairchild Dornier 328JET,9,2|2
,SWM,Fairchild Swearingen Metroliner,9,1|1
,M80,McDonnell Douglas MD-80,37,2|3
,M83,McDonnell Douglas MD-83,38,3|2
,M88,McDonnell Douglas MD-88,36,3|2
,M90,McDonnell Douglas MD-90,39,2|3
,PL2,Pilatus PC-12,4,2|2
,PA2,Piper Cherokee,1,1|1
,SF3,SAAB 340B,11,1|2
